City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
180,Havre-Saint-Pierre,CA,50.2334,-63.5986,42.37,72,100,13.42,overcast clouds
181,Carnarvon,AU,-24.8667,113.6333,70.34,36,0,12.97,clear sky
182,Dikson,RU,73.5069,80.5464,33.57,99,100,8.55,overcast clouds
183,Atyrau,KZ,47.1167,51.8833,69.82,60,0,20.13,clear sky
184,Qaqortoq,GL,60.7167,-46.0333,32.11,74,45,6.71,scattered clouds
185,Nenjiang,CN,49.1833,125.2167,44.87,28,60,3.85,broken clouds
186,Mehndawal,IN,26.9753,83.1117,98.67,19,0,7.18,clear sky
187,Butembo,CD,0.15,29.2833,62.38,96,100,0.6,light rain
188,Port Elizabeth,ZA,-33.918,25.5701,70.11,81,0,1.99,clear sky
189,Torbay,CA,47.6666,-52.7314,38.88,92,100,13.8,light rain
190,Coihaique,CL,-45.5752,-72.0662,36.21,100,100,3.44,fog
191,Nha Trang,VN,12.25,109.1833,80.6,88,88,5.53,overcast clouds
192,Jiuquan,CN,39.7432,98.5174,54.19,11,0,9.08,clear sky
193,Vestmanna,FO,62.1564,-7.1664,49.12,100,75,6.91,broken clouds
194,Nove Mesto Na Morave,CZ,49.5614,16.0742,72.82,49,1,5.84,clear sky
195,Esperance,AU,-33.8667,121.9,53.44,68,99,7.4,overcast clouds
196,Saskylakh,RU,71.9167,114.0833,34.09,100,100,7.25,light snow
197,Manaus,BR,-3.1019,-60.025,86.49,74,40,8.05,scattered clouds
198,Mahebourg,MU,-20.4081,57.7,73.26,81,33,11.63,light rain
199,Peniche,PT,39.3558,-9.3811,74.08,77,71,19.98,broken clouds
200,Rafaela,AR,-31.2503,-61.4867,62.01,47,85,5.01,overcast clouds
201,Wundanyi,KE,-3.4019,38.364,69.94,55,97,13.09,overcast clouds
202,Airai,TL,-8.9266,125.4092,61.07,96,87,1.92,overcast clouds
203,Caravelas,BR,-17.7125,-39.2481,80.22,55,69,7.94,broken clouds
204,Formosa Do Rio Preto,BR,-11.0483,-45.1931,89.2,35,90,5.99,overcast clouds
205,Vostok,RU,46.4856,135.8833,37.45,87,12,8.37,few clouds
206,Khatanga,RU,71.9667,102.5,32.86,99,100,6.8,overcast clouds
207,Warwick,US,41.7001,-71.4162,74.88,83,75,17.27,broken clouds
208,Gizo,SB,-8.103,156.8419,82.09,75,16,4.43,light rain
209,Batagay,RU,67.6333,134.6333,19.62,94,95,4.29,overcast clouds
210,Barth,DE,54.3635,12.7249,56.37,71,46,8.28,scattered clouds
211,College,US,64.8569,-147.8028,39.99,66,9,1.01,clear sky
212,La Ronge,CA,55.1001,-105.2842,37.8,70,100,11.56,overcast clouds
213,Niquelandia,BR,-14.4739,-48.4597,91.33,30,12,3.31,few clouds
214,Ostrovnoy,RU,68.0531,39.5131,38.44,78,36,8.59,scattered clouds
215,Kalmunai,LK,7.4167,81.8167,83.44,71,99,6.55,overcast clouds
216,Alice Springs,AU,-23.7,133.8833,62.15,59,75,0.0,broken clouds
217,Pisco,PE,-13.7,-76.2167,62.65,94,100,4.61,mist
218,Columbia,US,34.0007,-81.0348,82.47,62,0,8.05,clear sky
219,Mitsamiouli,KM,-11.3847,43.2844,81.09,71,42,7.81,light rain
220,Grafton,US,42.207,-71.6856,74.03,73,100,8.05,overcast clouds
221,Escuinapa,MX,22.85,-105.8,81.23,61,57,2.24,broken clouds
222,Ilulissat,GL,69.2167,-51.1,24.82,42,8,0.0,clear sky
223,Vila Franca Do Campo,PT,37.7167,-25.4333,64.81,69,100,15.97,light rain
